country,bond_name,status,rows,start_date,end_date,history_path,request_log_path
switzerland,Switzerland 5Y,ok,6626,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_5y_request_log.csv
switzerland,Switzerland 6M,ok,7703,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_6m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_6m_request_log.csv
switzerland,Switzerland 6Y,ok,6523,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_6y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_6y_request_log.csv
switzerland,Switzerland 7Y,ok,6524,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_7y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_7y_request_log.csv
switzerland,Switzerland 8Y,ok,6046,2000-04-25,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_8y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_8y_request_log.csv
switzerland,Switzerland 9Y,ok,6522,2000-01-04,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_9y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_9y_request_log.csv
switzerland,Switzerland Overnight,ok,5920,2006-10-20,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_overnight.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/switzerland/switzerland_overnight_request_log.csv
taiwan,Taiwan 10Y,ok,6697,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_10y_request_log.csv
taiwan,Taiwan 20Y,ok,6469,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_20y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_20y_request_log.csv
taiwan,Taiwan 2Y,ok,5310,2002-01-24,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_2y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_2y_request_log.csv
taiwan,Taiwan 30Y,ok,4888,2001-07-18,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_30y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_30y_request_log.csv
taiwan,Taiwan 5Y,ok,6614,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/taiwan/taiwan_5y_request_log.csv
thailand,Thailand 10Y,ok,5860,2001-01-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_10y_request_log.csv
thailand,Thailand 12Y,ok,5454,2001-01-17,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_12y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_12y_request_log.csv
thailand,Thailand 14Y,ok,5493,2001-01-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_14y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_14y_request_log.csv
thailand,Thailand 15Y,ok,2125,2016-01-05,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_15y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_15y_request_log.csv
thailand,Thailand 16Y,ok,4360,2005-06-17,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_16y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_16y_request_log.csv
thailand,Thailand 1Y,ok,5463,2001-01-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_1y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_1y_request_log.csv
thailand,Thailand 20Y,ok,2068,2015-11-26,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_20y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_20y_request_log.csv
thailand,Thailand 2Y,ok,5220,2001-01-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_2y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_2y_request_log.csv
thailand,Thailand 3Y,ok,1974,2016-01-05,2026-03-10,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_3y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_3y_request_log.csv
thailand,Thailand 5Y,ok,2744,2013-07-26,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_5y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_5y_request_log.csv
thailand,Thailand 7Y,ok,5609,2001-01-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_7y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/thailand/thailand_7y_request_log.csv
united kingdom,U.K. 10Y,ok,7360,2000-01-03,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_10y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_10y_request_log.csv
united kingdom,U.K. 12Y,ok,2684,2017-03-16,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_12y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_12y_request_log.csv
united kingdom,U.K. 15Y,ok,7318,2000-01-04,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_15y.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_15y_request_log.csv
united kingdom,U.K. 1M,ok,5971,2000-01-03,2026-03-11,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_1m.csv,/Users/lijian/Desktop/NUSSIF/SeasonalityDashboard/data/investpy_bond_yields/united_kingdom/u_k_1m_request_log.csv
